滦	luan2	river and county in Hebei Province	lu	an2	栾氵
濱	bin1	shore / beach / coast / bank / to border on	bi	(e)n1	氵賓
滨	bin1	shore / beach / coast / bank / to border on	bi	(e)n1	宾氵
灘	tan1	beach / shoal / CL:片[pian4]	t	an1	氵難
滩	tan1	beach / shoal / CL:片[pian4]	t	an1	氵难
滫	xiu3	water in which rice was boiled / slops / swill	xi	ou3	氵脩
滮	biao1	flowing of water	bi	ao1	彪氵
滴	di1	a drop / to drip	di	Ø1	啇氵
滹	hu1	surname Hu / name of a river	hu	Ø1	氵虖
漂	piao1	to float / to drift	pi	ao1	氵票
漂	piao3	to bleach	pi	ao3	氵票
漂	piao4	elegant / polished	pi	ao4	氵票
漆	qi1	paint / lacquer / CL:道[dao4] / to paint (furniture, walls etc)	qi	Ø1	桼氵
桼					木汆
漈	ji4	river bank	ji	Ø4	氵祭
漉	lu4	strain liquids	lu	Ø4	氵鹿
漊	lu:3	drizzle			婁氵
漎	cong2	a place where small streams flow into a large one	cu	(e)ng2	從氵
漏	lou4	to leak / to divulge / to leave out by mistake / waterclock or hourglass (old)	l	ou4	屚氵
屚					尸雨
漓	li2	pattering (of rain) / seep through	li	Ø2	氵离
灕	li2	name of a river	li	Ø2	氵離
漓	li2	name of a river	li	Ø2	氵离
灕	li2	to seep through	li	Ø2	氵離
漓	li2	to seep through	li	Ø2	氵离
演	yan3	to develop / to evolve / to practice / to perform / to play / to act	y	an3	寅氵
漕	cao2	transport by water / watercourse / canal	c	ao2	曹氵
漖	jiao4	Jiao river	ji	ao4	教氵
漘	chun2	shore	chu	(e)n2	氵脣
漙	tuan2	heavy dew	tu	an2	專氵
漜	ye3	mud	y	e3	埜氵
漠	mo4	desert / unconcerned	m	o4	氵莫
漡	shang1	old variant of 湯|汤[shang1]	sh	ang1	昜氵
漤	lan3	to soak (fruits) in hot water or limewater to remove astringent taste / to marinate in salt etc / to pickle	l	an3	婪氵
漥	wa1	variant of 窪|洼[wa1]	w	a1	氵窐
窐					圭穴
漦	li2	go with current / mucus / spittle	li	Ø2	水
漩	xuan2	eddy	xu	an2	旋氵
漪	yi1	ripple	y	Ø1	氵猗
猗	yi1	(interj.)	y	Ø1	奇犭
漫	man4	free / unrestrained / to inundate	m	an4	曼氵
漭	mang3	vast / expansive (of water)	m	ang3	氵莽
莽	mang3	thick weeds / luxuriant growth / Illicium anisatum, a shrub with poisonous leaves / impertinent	m	ang3	大廾艹
漯	ta4	name of a river	t	a4	氵累
漰	peng1	noise of dashing waves	p	(e)ng1	崩氵
漱	shu4	to rinse one's mouth with water / to gargle	shu	Ø4	欠涑
潄	shu4	variant of 漱[shu4]	shu	Ø4	敕氵
漱	shu4	variant of 漱[shu4]	shu	Ø4	欠涑
漳	zhang1	Zhang river in Fujian	zh	ang1	氵章
漶	huan4	indecipherable	hu	an4	患氵
漷	kuo4	clashing of two currents	ku	o4	氵郭
漼	cui3	having the appearance of depth	cu	ei3	崔氵
漾	yang4	to overflow / to ripple / used in place names / see 漾濞[Yang4 bi4]	y	ang4	氵羕
潀	cong2	gather / flow into (water) / sound of waters flowing together	cu	(e)ng2	氵眾
潁					匕水頁
潃	xiu3	old variant of 滫[xiu3]	xi	ou3	彳攵月氵
瀠	ying2	eddy / small river	y	(e)ng2	氵縈
潆	ying2	eddy / small river	y	(e)ng2	氵萦
縈	ying2	wind around	y	(e)ng2	炏糸
萦	ying2	wind around	y	(e)ng2	糸艹
瀟	xiao1	river name / sound of rain and wind	xi	ao1	氵蕭
潇	xiao1	river name / sound of rain and wind	xi	ao1	氵萧
蕭	xiao1	surname Xiao	xi	ao1	卄肅
萧	xiao1	surname Xiao	xi	ao1	卄肃
蕭	xiao1	miserable / desolate / dreary / Chinese mugwort	xi	ao1	卄肅
萧	xiao1	miserable / desolate / dreary / Chinese mugwort	xi	ao1	卄肃
瀲	lian4	full of water / trough	li	an4	斂氵
潋	lian4	full of water / trough	li	an4	敛氵
濰	wei2	name of a river	w	ei2	氵維
潍	wei2	name of a river	w	ei2	氵维
維	wei2	abbr. for Uighur 維吾爾|维吾尔[Wei2 wu2 er3] / surname Wei	w	ei2	糹隹
维	wei2	abbr. for Uighur 維吾爾|维吾尔[Wei2 wu2 er3] / surname Wei	w	ei2	纟隹
維	wei2	to preserve / to maintain / to hold together / dimension / vitamin (abbr. for 維生素|维生素[wei2 sheng1 su4])	w	ei2	糹隹
维	wei2	to preserve / to maintain / to hold together / dimension / vitamin (abbr. for 維生素|维生素[wei2 sheng1 su4])	w	ei2	纟隹
潎	pi4	rippling / pour	pi	Ø4	敝氵
潏	jue2	to bubble up	ju	e2	氵矞
潕	wu3	river in Henan	w	Ø3	氵無
潗	ji2	friendly / harmonious	ji	Ø2	氵集
潘	pan1	surname Pan / Pan, faun in Greek mythology, son of Hermes	p	an1	氵番
潚	xiao1	sound of rain and wind	xi	ao1	氵肅
潛					朁氵
潛	qian2	hidden / secret / latent / to hide / to conceal / to submerge / to dive	qi	an2	朁氵
潜	qian2	hidden / secret / latent / to hide / to conceal / to submerge / to dive	qi	an2	替氵
潝	xi1	to agree	xi	Ø1	氵翕
潞	lu4	name of a river / surname Lu	lu	Ø4	氵路
路	lu4	surname Lu	lu	Ø4	⻊各
⻊					
路	lu4	road / CL:條|条[tiao2] / journey / route / line (bus etc) / sort / kind	lu	Ø4	⻊各
潟	xi4	saline land / salt marsh	xi	Ø4	氵舄
潠	xun4	spurt out of the mouth	xu	(e)n4	巽氵
潢	huang2	dye paper / lake / pond / mount scroll	hu	ang2	氵黄
潦	lao3	flooded / heavy rain	l	ao3	尞氵
潭	tan2	surname Tan	t	an2	氵覃
潭	tan2	deep pool / pond / pit (dialect) / depression	t	an2	氵覃
潮	chao2	tide / current / damp / moist / humid	ch	ao2	朝氵
潲	shao4	driving rain / to sprinkle	sh	ao4	氵稍
稍	shao1	somewhat / a little	sh	ao1	禾肖
稍	shao4	see 稍息[shao4 xi1]	sh	ao4	禾肖
瀦	zhu1	pool / pond	zhu	Ø1	氵豬
潴	zhu1	pool / pond	zhu	Ø1	氵猪
潵	sa3	name of a river in Hebei Province	s	a3	散氵
潵	sa3	old variant of 撒[sa3]	s	a3	散氵
潵	san4	to disperse water	s	an4	散氵
潸	shan1	tearfully	sh	an1	月林氵
潺	chan2	flow / trickle (of water)	ch	an2	孱氵
潼	tong2	high / name of a pass	tu	(e)ng2	氵童
潽	pu1	to boil over	pu	Ø1	普氵
潾	lin2	clear (as of water)	li	(e)n2	氵粦
澂					氵
澃	jiong3	clear	ju	(e)ng3	水須
澂	cheng2	variant of 澄[cheng2]	ch	(e)ng2	氵
澄	cheng2	variant of 澄[cheng2]	ch	(e)ng2	氵登
澄	cheng2	surname Cheng	ch	(e)ng2	氵登
澄	cheng2	clear / limpid / to clarify / to purify	ch	(e)ng2	氵登
澄	deng4	(of liquid) to settle / to become clear	d	(e)ng4	氵登
澈	che4	clear (water) / thorough	ch	e4	氵
澉	gan3	place name / wash	g	an3	敢氵
澌	si1	drain dry / to exhaust	s	Ø1	斯氵
澍	shu4	moisture / timely rain	shu	Ø4	尌氵
澎	peng2	sound of waves	p	(e)ng2	彭氵
澐	yun2	river waves	yu	(e)n2	氵雲
澒	hong4	vast / infinite	hu	(e)ng4	氵項
項					工頁
澔	hao4	grand / vast (of water)	h	ao4	氵皓
暠	hao4	variant of 皓[hao4]	h	ao4	日高
皓	hao4	variant of 皓[hao4]	h	ao4	告白
皓	hao4	bright / luminous / white (esp. bright white teeth of youth or white hair of old age)	h	ao4	告白
皜	hao4	variant of 皓[hao4] / spotlessly white	h	ao4	白高
皓	hao4	variant of 皓[hao4] / spotlessly white	h	ao4	告白
澙	xi4	variant of 潟[xi4]	xi	Ø4	氵舃
舃					臼
瀾	lan2	swelling water	l	an2	氵闌
澜	lan2	swelling water	l	an2	氵阑
澟	lin3	old variant of 凜|凛[lin3]	li	(e)n3	氵稟
澡	zao3	bath	z	ao3	喿氵
澥	xie4	to become watery / creek	xi	e4	氵解
澦	yu4	place name in Sichuan	yu	Ø4	氵預
預					予頁
澧	li3	Lishui River in north Hunan, flowing into Lake Dongting 洞庭湖 / surname Li	li	Ø3	氵豊
澨	shi4	bank / shore / name of a river	sh	Ø4	氵筮
澫	man4	variant of 漫[man4] / overflow of water / spreading	m	an4	氵萬
澬	zi1	to rain continuously	z	Ø1	氵資
資					次貝
澰	lian4	full of water / trough	li	an4	僉氵
澳	ao4	deep bay / cove / harbor / abbr. for Macao 澳門|澳门 / abbr. for Australia 澳大利亞|澳大利亚	Ø	ao4	奥氵
澴	huan2	to return (of waves)	hu	an2	氵睘
澶	chan2	still (as of water) / still water	ch	an2	亶氵
澹	tan2	surname Tan	t	an2	氵詹
澹	dan4	tranquil / placid / quiet	d	an4	氵詹
澼	pi4	bleach / to clean	pi	Ø4	氵辟
澽	ju4	(name of a river in Shaanxi Province)	ju	Ø4	氵豦
激	ji1	to arouse / to incite / to excite / to stimulate / sharp / fierce / violent	ji	Ø1	敫氵
濂	lian2	name of a river in Hunan	li	an2	廉氵
濆	fen2	edge of water	f	(e)n2	氵賁
濇	se4	grating (of surfaces)	s	e4	嗇氵
濈	ji2	many	ji	Ø2	戢氵
濉	sui1	name of a river	su	ei1	氵睢
睢	sui1	surname Sui	su	ei1	目隹
睢	sui1	to stare	su	ei1	目隹
濊	hui4	vast / expansive (as of water)	hu	ei4	歲氵
濋	chu3	name of an ancient river (in present-day Dingtao County 定陶縣|定陶县[Ding4 tao2 Xian4], Shandong)	chu	Ø3	楚氵
濍	song1	(onom.) sound of water	su	(e)ng1	氵葱
蔥	cong1	scallion / green onion	cu	(e)ng1	卄悤
葱	cong1	scallion / green onion	cu	(e)ng1	卄怱
瀨	lai4	name of a river / rushing of water	l	ai4	氵賴
濑	lai4	name of a river / rushing of water	l	ai4	氵赖
瀕	bin1	to approach / to border on / near	bi	(e)n1	氵頻
濒	bin1	to approach / to border on / near	bi	(e)n1	氵频
頻	pin2	frequency / frequently / repetitious	pi	(e)n2	步頁
频	pin2	frequency / frequently / repetitious	pi	(e)n2	步页
濔	mi3	many / numerous	mi	Ø3	氵爾
濜	jin4	river in Hubei province	ji	(e)n4	氵盡
濞	bi4	used in place names / see 漾濞[Yang4 bi4]	bi	Ø4	氵鼻
濠	hao2	trench	h	ao2	氵豪
濡	ru2	dilatory / to moisten	ru	Ø2	氵需
濩	huo4	cook / dashing of water	hu	o4	氵蒦
濮	pu2	name of a river / surname Pu	pu	Ø2	僕氵
濯	zhao4	variant of 櫂|棹[zhao4]	zh	ao4	氵翟
濯	zhuo2	to wash / to cleanse of evil	zhu	o2	氵翟
濲	gu3	name of a river in Hunan	gu	Ø3	榖氵
濶					䦚氵
瀁	yang4	ripples	y	ang4	氵養
瀌	biao1	copious (of rain or snow)	bi	ao1	氵麃
瀍	chan2	Chanshui river in Henan	ch	an2	廛氵
瀑	bao4	shower (rain)	b	ao4	暴氵
瀑	pu4	waterfall	pu	Ø4	暴氵
瀒	se4	variant of 濇[se4]	s	e4	𠾂氵
𠾂					
瀔	gu3	river name in Henan province	gu	Ø3	氵穀
瀚	han4	ocean / vastness	h	an4	氵翰
翰	han4	surname Han	h	an4	人十早羽
翰	han4	writing brush / writing / pen	h	an4	人十早羽
瀛	ying2	ocean	y	(e)ng2	嬴氵
瀡	sui3	slippery	su	ei3	氵隨
隨					遀阝
瀣	xie4	mist / vapor	xi	e4	氵韰
韰					𣦼韭
瀬	lai4	Japanese variant of 瀨|濑	l	ai4	氵頼
瀳	jian4	to arrive (of water)	ji	an4	氵薦
薦					卄廌
瀵	fen4	name of a river / valley vapor	f	(e)n4	氵糞
糞					異米
瀹	yue4	to cleanse / to boil	yu	e4	氵龠
瀺	chan2	sound of water	ch	an2	毚氵
瀼	rang2	dewy	r	ang2	氵襄
灉	yong1	name of a river / sluice	yu	(e)ng1	氵雝
灌	guan4	to irrigate / to pour / to install (software) / to record (music)	gu	an4	氵雚
灝	hao4	vast (of water)	h	ao4	氵顥
灏	hao4	vast (of water)	h	ao4	氵颢
顥	hao4	bright / white	h	ao4	景頁
颢	hao4	bright / white	h	ao4	景页
灒	zan4	to spatter, to splash, to scatter	z	an4	氵贊
灖	mi3	(used to describe flowing water)	mi	Ø3	氵靡
灞	ba4	name of a river	b	a4	氵霸
灠	lan3	variant of 漤[lan3]	l	an3	氵覽
灠	lan4	variant of 濫|滥[lan4]	l	an4	氵覽
灢	nang3	muddy / thick, muddy water	n	ang3	囊氵
灥	xun2	a group of springs	xu	(e)n2	泉
灪	yu4	(obscure) variant of 鬱|郁 / rich / great wave	yu	Ø4	氵鬱
鬱					彡鬯
滅	mie4	to extinguish or put out / to go out (of a fire etc) / to exterminate or wipe out / to drown	mi	e4	氵烕
灭	mie4	to extinguish or put out / to go out (of a fire etc) / to exterminate or wipe out / to drown	mi	e4	一火
灮	guang1	old variant of 光[guang1]	gu	ang1	儿火
燈	deng1	lamp / light / lantern / CL:盞|盏[zhan3]	d	(e)ng1	火登
灯	deng1	lamp / light / lantern / CL:盞|盏[zhan3]	d	(e)ng1	丁火
灴	hong2	to bake, to roast / to dry at a fire	hu	(e)ng2	工火
灶	zao4	kitchen stove / kitchen	z	ao4	土火
竈	zao4	variant of 灶[zao4]	z	ao4	土穴黽
灶	zao4	variant of 灶[zao4]	z	ao4	土火
灸	jiu3	moxibustion (Chinese medicine)	ji	ou3	久火
灺	xie4	candle stub	xi	e4	也火
灼	zhuo2	luminous / burning / to burn / to cauterize	zhu	o2	勺火
災					巛火
災	zai1	disaster / calamity	z	ai1	巛火
灾	zai1	disaster / calamity	z	ai1	宀火
烖	zai1	variant of 災|灾[zai1]	z	ai1	𢦏火
灾	zai1	variant of 災|灾[zai1]	z	ai1	宀火
菑	zai1	old variant of 災|灾[zai1]	z	ai1	卄甾
灾	zai1	old variant of 災|灾[zai1]	z	ai1	宀火
燦	can4	glorious / bright / brilliant / lustrous / resplendent	c	an4	火粲
灿	can4	glorious / bright / brilliant / lustrous / resplendent	c	an4	山火
粲	can4	beautiful / bright / splendid / smilingly	c	an4	𣦼米
𣦼					
煬	yang2	molten / smelt	y	ang2	昜火
炀	yang2	molten / smelt	y	ang2	𠃓火
炁	qi4	variant of 氣|气[qi4], breath / air / steam / gas / weather / used in Taoist charms	qi	Ø4	旡灬
炅	gui4	surname Gui	gu	ei4	日火
炆	wen2	(Cantonese) to simmer / to cook over a slow fire	w	(e)n2	文火
爐	lu2	stove / furnace	lu	Ø2	火盧
炉	lu2	stove / furnace	lu	Ø2	户火
鑪	lu2	variant of 爐|炉[lu2]	lu	Ø2	盧金
炉	lu2	variant of 爐|炉[lu2]	lu	Ø2	户火
炊	chui1	to cook food	chu	ei1	欠火
炒	chao3	to sauté / to stir-fry / to speculate / to hype / to fire (sb)	ch	ao3	少火
炔	gui4	surname Gui	gu	ei4	夬火
炔	que1	alkyne	qu	e1	夬火
匟	kang4	old variant of 炕[kang4]	k	ang4	亢匚
炕	kang4	old variant of 炕[kang4]	k	ang4	亢火
炕	kang4	kang (a heatable brick bed) / to bake / to dry by the heat of a fire	k	ang4	亢火
燉	dun4	to stew	du	(e)n4	敦火
炖	dun4	to stew	du	(e)n4	屯火
炘	xin1	mid-day glare / heat	xi	(e)n1	斤火
炙	zhi4	to broil / to roast	zh	Ø4	月火
煒	wei3	glowing / bright / brilliant	w	ei3	火韋
炜	wei3	glowing / bright / brilliant	w	ei3	火韦
熗	qiang4	to stir-fry then cook with sauce and water / to boil food briefly then dress with soy etc / to choke / to irritate (throat etc)	qi	ang4	倉火
炝	qiang4	to stir-fry then cook with sauce and water / to boil food briefly then dress with soy etc / to choke / to irritate (throat etc)	qi	ang4	仓火
炤	zhao4	surname Zhao	zh	ao4	召火
炫	xuan4	to dazzle / to boast / to show off / (slang) cool / awesome	xu	an4	火玄
炬	ju4	torch	ju	Ø4	巨火
炭	tan4	wood charcoal / coal	t	an4	山灰
炮	bao1	to sauté / to fry / to dry by heating	b	ao1	包火
炮	pao2	to prepare herbal medicine by roasting or parching (in a pan)	p	ao2	包火
炮	pao4	cannon / CL:座[zuo4] / firecracker	p	ao4	包火
砲	pao4	variant of 炮[pao4]	p	ao4	包石
炮	pao4	variant of 炮[pao4]	p	ao4	包火
炯	jiong3	bright / clear	ju	(e)ng3	冋火
烱	jiong3	old variant of 炯[jiong3]	ju	(e)ng3	冏火
炯	jiong3	old variant of 炯[jiong3]	ju	(e)ng3	冋火
炰	pao2	to roast	p	ao2	包灬
炱	tai2	soot	t	ai2	台火
炲	tai2	variant of 炱[tai2]	t	ai2	台火
炳	bing3	bright / brilliant / luminous	bi	(e)ng3	丙火
炴	yang3	firelight / blaze	y	ang3	央火
炷	zhu4	wick of an oil lamp / to burn (incense etc) / measure word for lit incense sticks	zhu	Ø4	主火
炸	zha2	to deep fry	zh	a2	乍火
炸	zha4	to explode	zh	a4	乍火
點	dian3	point / dot / drop / speck / o'clock / point (in space or time) / to draw a dot / to check on a list / to choose / to order (food in a restaurant) / to touch briefly / to hint / to light / to ignite / to pour a liquid drop by drop / (old) one fifth of a two-hour watch 更[geng1] / dot stroke in Chinese characters / classifier for items	di	an3	占黑
点	dian3	point / dot / drop / speck / o'clock / point (in space or time) / to draw a dot / to check on a list / to choose / to order (food in a restaurant) / to touch briefly / to hint / to light / to ignite / to pour a liquid drop by drop / (old) one fifth of a two-hour watch 更[geng1] / dot stroke in Chinese characters / classifier for items	di	an3	占灬
炻	shi2	stoneware	sh	Ø2	火石
煉	lian4	to refine / to smelt	li	an4	柬火
炼	lian4	to refine / to smelt	li	an4	柬火
鍊	lian4	variant of 鏈|链[lian4], chain / variant of 煉|炼[lian4]	li	an4	柬金
炼	lian4	variant of 鏈|链[lian4], chain / variant of 煉|炼[lian4]	li	an4	柬火
熾	chi4	to burn / to blaze / splendid / illustrious	ch	Ø4	戠火
炽	chi4	to burn / to blaze / splendid / illustrious	ch	Ø4	只火
炾	huang3	bright and spacious	hu	ang3	兄火
烀	hu1	to cook in a small quantity of water	hu	Ø1	乎火
爍	shuo4	bright / luminous	shu	o4	樂火
烁	shuo4	bright / luminous	shu	o4	乐火
爛	lan4	soft / mushy / well-cooked and soft / to rot / to decompose / rotten / worn out / chaotic / messy / utterly / thoroughly / crappy / bad	l	an4	火闌
烂	lan4	soft / mushy / well-cooked and soft / to rot / to decompose / rotten / worn out / chaotic / messy / utterly / thoroughly / crappy / bad	l	an4	兰火
烴	ting1	hydrocarbon	ti	(e)ng1	巠火
烃	ting1	hydrocarbon	ti	(e)ng1	工火
烈	lie4	ardent / intense / fierce / stern / upright / to give one's life for a noble cause / exploits / achievements	li	e4	列灬
烉	huan4	old variant of 煥|焕[huan4]	hu	an4	火负
烊	yang2	molten / smelt	y	ang2	火羊
烋	xiao1	to boil or fumigate	xi	ao1	休灬
烓	wei1	three-cornered stove	w	ei1	圭火
烔	tong2	hot / heated	tu	(e)ng2	同火
烘	hong1	to bake / to heat by fire / to set off by contrast	hu	(e)ng1	共火
烙	lao4	to brand / to iron / to bake (in a pan)	l	ao4	各火
燭	zhu2	candle / (literary) to illuminate	zhu	Ø2	火蜀
烛	zhu2	candle / (literary) to illuminate	zhu	Ø2	火虫
烜	xuan3	brilliant	xu	an3	亘火
烝	zheng1	multitudinous / the masses / to present (to sb) / to rise / to advance / to progress / archaic variant of 蒸[zheng1]	zh	(e)ng1	丞灬
煙	yan1	cigarette or pipe tobacco / CL:根[gen1] / smoke / mist / vapour / CL:縷|缕[lu:3] / tobacco plant / (of the eyes) to be irritated by smoke	y	an1	垔火
烟	yan1	cigarette or pipe tobacco / CL:根[gen1] / smoke / mist / vapour / CL:縷|缕[lu:3] / tobacco plant / (of the eyes) to be irritated by smoke	y	an1	因火
烤	kao3	to roast / to bake / to broil	k	ao3	火考
煩	fan2	to feel vexed / to bother / to trouble / superfluous and confusing / edgy	f	an2	火頁
烦	fan2	to feel vexed / to bother / to trouble / superfluous and confusing / edgy	f	an2	火页
燒	shao1	to burn / to cook / to stew / to bake / to roast / to boil (tea, water etc) / fever	sh	ao1	堯火
烧	shao1	to burn / to cook / to stew / to bake / to roast / to boil (tea, water etc) / fever	sh	ao1	尧火
燁	ye4	blaze of fire / glorious	y	e4	火華
烨	ye4	blaze of fire / glorious	y	e4	华火
爗	ye4	variant of 燁|烨[ye4]	y	e4	曅火
烨	ye4	variant of 燁|烨[ye4]	y	e4	华火
曅					日華
燴	hui4	to braise / to cook in soy and vinegar / braised / cooked in soy and vinegar	hu	ei4	會火
烩	hui4	to braise / to cook in soy and vinegar / braised / cooked in soy and vinegar	hu	ei4	会火
燙	tang4	to scald / to burn (by scalding) / to blanch (cooking) / to heat (sth) up in hot water / to perm / to iron / scalding hot	t	ang4	湯火
烫	tang4	to scald / to burn (by scalding) / to blanch (cooking) / to heat (sth) up in hot water / to perm / to iron / scalding hot	t	ang4	汤火
燼	jin4	ashes / embers	ji	(e)n4	火盡
烬	jin4	ashes / embers	ji	(e)n4	尽火
熱	re4	to warm up / to heat up / hot (of weather) / heat / fervent	r	e4	埶灬
热	re4	to warm up / to heat up / hot (of weather) / heat / fervent	r	e4	执灬
烯	xi1	alkene	xi	Ø1	希火
烳	pu3	to travel by the light of torch	pu	Ø3	火甫
烷	wan2	alkane	w	an2	完火
烹	peng1	cooking method / to boil sb alive (capital punishment in Imperial China)	p	(e)ng1	亨灬
烺	lang3	blaze / light	l	ang3	火良
烽	feng1	beacon fire	f	(e)ng1	夆火
焃	he4	fiery / bright	h	e4	火赤
焈	xi1	old variant of 熙[xi1]	xi	Ø1	戺火
焊	han4	to weld	h	an4	旱火
銲	han4	to solder / weld by heat	h	an4	旱金
焊	han4	to solder / weld by heat	h	an4	旱火
焌	jun4	to set fire to / to ignite	ju	(e)n4	夋火
焌	qu1	to extinguish by stamping out or immersing in water / cooking method / to ignite using a non-flaming object	qu	Ø1	夋火
焐	wu4	to warm sth up	w	Ø4	吾火
焓	han2	enthalpy	h	an2	含火
焔	yan4	old variant of 焰[yan4]	y	an4	旧火
煥	huan4	brilliant / lustrous	hu	an4	奐火
焕	huan4	brilliant / lustrous	hu	an4	奂火
燜	men4	to cook in a covered vessel / to casserole / to stew	m	(e)n4	悶火
焖	men4	to cook in a covered vessel / to casserole / to stew	m	(e)n4	火闷
悶	men1	stuffy / shut indoors / to smother / to cover tightly	m	(e)n1	心門
闷	men1	stuffy / shut indoors / to smother / to cover tightly	m	(e)n1	心门
悶	men4	bored / depressed / melancholy / sealed / airtight / tightly closed	m	(e)n4	心門
闷	men4	bored / depressed / melancholy / sealed / airtight / tightly closed	m	(e)n4	心门
焗	ju2	(dialect) to cook in salt or sand, inside a sealed pot / to steam / to bake	ju	Ø2	局火
燾	dao4	cover over / to envelope	d	ao4	壽灬
焘	dao4	cover over / to envelope	d	ao4	寿灬
焙	bei4	to dry over a fire / to bake	b	ei4	咅火
焚	fen2	to burn	f	(e)n2	林火
焜	kun1	brilliant	ku	(e)n1	昆火
焞	tun1	bright / radiant / Taiwan pr. [chun2]	tu	(e)n1	享火
焟	xi1	dry	xi	Ø1	昔火
焠	cui4	to temper (as steel)	cu	ei4	卒火
焢	hong1	angry appearance (archaic)	hu	(e)ng1	火空
焢	kong4	see 焢肉[kong4 rou4]	ku	(e)ng4	火空
焮	xin4	heat / flame / inflammation	xi	(e)n4	欣火
